,Unnamed: 0,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,City_Mileage,Highway_Mileage,ARAI_Certified_Mileage,ARAI_Certified_Mileage_for_CNG,Kerb_Weight,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Power_Steering,Power_Windows,Power_Seats,Keyless_Entry,Power,Torque,Odometer,Speedometer,Tripmeter,Seating_Capacity,Type,Wheelbase,Wheels_Size,Start_/_Stop_Button,12v_Power_Outlet,Audiosystem,Aux-in_Compatibility,Average_Fuel_Consumption,Basic_Warranty,Bluetooth,Boot-lid_Opener,Boot_Space,CD_/_MP3_/_DVD_Player,Central_Locking,Child_Safety_Locks,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Minimum_Turning_Radius,Multifunction_Display,Sun_Visor,Third_Row_AC_Vents,Ventilation_System,Auto-Dimming_Rear-View_Mirror,Hill_Assist,Gear_Indicator,3_Point_Seat-Belt_in_Middle_Rear_Seat,Ambient_Lightning,Cargo/Boot_Lights,Drive_Modes,Engine_Immobilizer,High_Speed_Alert_System,Lane_Watch_Camera/_Side_Mirror_Camera,Passenger_Side_Seat-Belt_Reminder,Seat_Back_Pockets,Voice_Recognition,Walk_Away_Auto_Car_Lock,ABS_(Anti-lock_Braking_System),Headlight_Reminder,Adjustable_Headrests,Gross_Vehicle_Weight,Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Number_of_Airbags,Compression_Ratio,Adjustable_Steering_Column,Other_Specs,Other_specs,Parking_Assistance,Key_Off_Reminder,USB_Compatibility,Android_Auto,Apple_CarPlay,Unnamed: 112,Infotainment_Screen,Multifunction_Steering_Wheel,Average_Speed,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Navigation_System
0,0,Tata,Nano Genx,Xt,292667,624 cc,2.0,2.0,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24 litres,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,5.0,?23.6 km/litre,,23.6 km/litre,,660 kg,4,180 mm,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",Electric Power,Only Front Windows,,Remote,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Yes,4.0,Manual,2230 mm,4 B X 12,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,2 years /75000 Kms (years/distance whichever comes first),Yes,Internal,110 litres,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,Datsun,Redi-Go,D,279650,799 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28 litres,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,5.0,21.38 km/litre,24 km/litre,25.17 km/litre,,,5,185 mm,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,,,,,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Yes,5.0,Manual,2348 mm,80/155R13,,Yes,Not on offer,,Yes,2 years / Unlimited Kms,,Internal,222 litres,,,Yes,,Not on offer,Yes,,Yes,2 Years/Unlimited Kms (Whichever comes earlier),,Internal,Digital,Manual,Analog + Digital,Yes,4.7 meter,Yes,Driver & Front Passenger,Not Applicable,Yes,,,,,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
2,12,Renault,Kwid,Rxe 0.8,353290,799 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,28 litres,Petrol,1490 mm,3731 mm,1579 mm,Hatchback,5.0,25.17 km/litre,,25.17 km/litre,,669 kg,6,184 mm,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,,,,,54PS@5678rpm,72Nm@4386rpm,Digital,Digital,Yes,5.0,Manual,2422 mm,165/70 R14,,,Not on offer,,,"2 Years / 50,000 Kms (Whichever comes earlier)",,Internal,300 litres,,,Yes,,Front,,Front,Yes,,,Internal,Digital,Manual,Digital,Yes,,Yes,Co-Driver Only,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,,,,Yes,,,,Driver frontal airbag,Yes,Yes,Yes,Yes,1.0,,,,,,,,,,,,,,,,
3,24,Maruti Suzuki,Eeco,5 Str,352136,1196 cc,4.0,4.0,RWD (Rear Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,40 litres,Petrol,1800 mm,3675 mm,1475 mm,MPV,5.0,12 km/litre,15 km/litre,15 km/litre,,920 kg,5,160 mm,Ventilated Disc,Drum,McPherson struts,3 Link Rigid,,,,,73PS@6000rpm,101Nm@3000rpm,Digital,Analog,Yes,5.0,Manual,2350 mm,155 R13 LT,,,Not on offer,,,2 years /40000 Kms (years/distance whichever comes first),,Internal,400 litres,,,Yes,,Not on offer,,,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",,Manual,Digital,Manual,Analog + Digital,Yes,4.5 meter,Yes,Driver & Front Passenger,,,Yes,,,,,,Normal,,Yes,,Yes,,,,Yes,,,1510 kg,Driver frontal airbag,,Yes,,,1.0,9.9,Rake,,Rear Reading Lamp,Rear sensors,,,,,,,,,,,
4,29,Maruti Suzuki,Alto K10,Lxi,377588,998 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35 litres,Petrol,1475 mm,3545 mm,1490 mm,Hatchback,5.0,14 km/litre,17 km/litre,24.07 km/litre,,745 kg,5,160 mm,Ventilated Disc,Drum,Gas Filled Mc Pherson Strut,3-link rigid axle Suspension,Yes,,,,68PS@6000rpm,90Nm@3500rpm,Digital,Analog,Yes,5.0,Manual,2360 mm,155/65R13,,,Not on offer,,,2 years /40000 Kms (years/distance whichever comes first),,Internal,177 litres,,,Yes,,Front,,Front,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",,Internal,Digital,Manual,Analog + Digital,Yes,4.6 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,,,,,,Yes,,Yes,,,,,Yes,,,1210 kg,Driver frontal airbag,,Yes,,,1.0,,,tubeless tyre,,,,,,,,,,,,,
5,35,Datsun,Go,D,374990,1198 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35 litres,Petrol,1507 mm,3788 mm,1636 mm,Hatchback,5.0,,,20.1 km/litre,,864 kg,5,180 mm,Ventilated Disc,Drum,MacPherson Strut with anti-roll bar,H-type Torsion Beam,,Only Front Windows,,,68PS@5000rpm,104Nm@4000rpm,Digital,Analog,2,5.0,Manual,2450 mm,155/70R13,,Yes,Not on offer,,Yes,2 years / Unlimited Kms,,"Internal, With Remote",265 litres,,Yes,Yes,,Not on offer,Yes,,Yes,2 Years/Unlimited Kms (Whichever comes earlier),,"With Remote, Internal",Digital,Manual,Analog + Digital,Yes,4.6 meter,Yes,Driver & Front Passenger,Not Applicable,Heater,Yes,,Yes,,,,,Yes,,,,,,,Yes,,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",,Yes,Yes,Yes,2.0,,,,,Rear sensors,,,,,,,,Yes,Yes,Manual Adjustment,
6,44,Maruti Suzuki,Celerio Tour,H2,422444,998 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35 litres,Petrol,1560 mm,3600 mm,1600 mm,Hatchback,5.0,23 km/litre,,23.1 km/litre,,830 kg,5,165 mm,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Coupled Torsion Beam Axle with coil spring,Electric Power,,,,68PS@6000rpm,90Nm@3500rpm,Digital,Analog,Yes,5.0,Manual,2425 mm,155/80R13,,,Not on offer,,Yes,2 years /40000 Kms (years/distance whichever comes first),,Manual,235 litres,,,Yes,Digital,Front,Yes,Front & Rear,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",,Internal,Digital,Manual,Analog + Digital,Yes,4.7 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,,,,,,Yes,,,,,,,Yes,Yes,,1250 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,,,,2.0,,,,,,Yes,,,,,,,,,,
7,46,Hyundai,Santro,Era Mt,429990,1086 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35 litres,Petrol,1560 mm,3610 mm,1645 mm,Hatchback,4.0,,,20.3 km/litre,,,5,,,,,,Electric Power,Only Front Windows,,,69PS@5500rpm,99.04nm@4500RPM,Analog,Analog,Yes,5.0,Manual,2400 mm,,,Yes,Not on offer,,Yes,,,"With Remote, Internal",,,,Yes,Analog,Front & Rear,Yes,Front & Rear,Yes,,,"With Remote, Internal",Digital,,Analog,Yes,,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,,,Driver frontal airbag,Yes,Yes,Yes,Yes,1.0,,,,,,Yes,,,,,,Multifunction Steering Wheel,Yes,,Manual Adjustment,
8,54,Tata,Tiago,Revotron Xe,460000,1199 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,35 litres,Petrol,1535 mm,3765 mm,1677 mm,Hatchback,5.0,,,23 km/litre,,935 kg,5,,Ventilated Disc,Drum,"Independent, Lower Wishbone, Mcpherson Strut with coil spring",Semi-Independent; Twist beam with dual path strut,Electric Power,,,,86PS@6000rpm,114NM@3300rpm,Digital,Analog,2,5.0,Manual,2400 mm,155/80 R13,,Yes,Not on offer,,Yes,"2 Years / 75,000 KM (whichever is earlier)",,"Internal, With Remote",,,,Yes,Yes,Front,Yes,Front & Rear,Yes,"2 years + 1 year (3rd year extended warranty up to 75,000km) or 2 years + 2 years (3rd and 4th year extended warranty up to 1,00,000 kms).",,"With Remote, Internal",Analog,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,,,,Yes,Yes,,,"Driver frontal airbag, Front passenger frontal airbag",,Yes,,Yes,2.0,,Rake,,,Rear sensors,Yes,,,,,,,Yes,,,
9,62,Maruti Suzuki,Celerio X,Vxi (O),481074,998 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,35 litres,Petrol,1560 mm,3600 mm,1600 mm,Hatchback,5.0,23 km/litre,22 km/litre,23.1 km/litre,,810 kg,5,165 mm,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Coupled Torsion Beam Axle with coil spring,Electric Power,All Windows,,,68PS@6000rpm,90Nm@3500rpm,Digital,Analog,Yes,5.0,Manual,2425 mm,165/70R14,,,Not on offer,,,2 years /40000 Kms (years/distance whichever comes first),,Manual,235 litres,,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",,Internal,Digital,Manual,Analog + Digital,Yes,4.7 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,,,,,Yes,Yes,,1250 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,,Yes,,2.0,,Rake,,,,Yes,,,,,,Yes,,,,
10,70,Maruti Suzuki,Ignis,Alpha 1.2 Amt,713898,1197 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,32 litres,Petrol,1595 mm,3700 mm,1690 mm,Hatchback,5.0,20.89 km/litre,,20.89 km/litre,,860 kg,,180 mm,Ventilated Disc,Drum,McPherson Strut,Torsion Beam,Electric Power,All Windows,,Remote,83PS@6000rpm,113Nm@4200RPM,Analog,Analog,Yes,5.0,AMT,2435 mm,175/65R 15,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,With Remote,260 litres,Yes,Yes,Yes,Digital,Yes,,Front & Rear,Yes,,Yes,Internal,Analog,Manual,Analog,Yes,4.7 meter,Yes,Driver & Front Passenger,Not Applicable,"Heater, Fully automatic climate control",,,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,Second Row,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,,Rake,,,Rear sensors with camera,Yes,Yes,,,,Yes,Multifunction Steering Wheel,Yes,,Manual Adjustment,Yes
11,77,Renault,Triber,Rxe,495000,999 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,40 litres,Petrol,1643 mm,3990 mm,1739 mm,MUV,5.0,,,20.5 km/litre,,947 kg,5,182 mm,Ventilated Disc,Drum,McPherson Strut,Torison Beam,Electric Power,Only Front Windows,,,72PS@62050rpm,96Nm@3500rpm,Digital,"Analog, Digital",2,7.0,Manual,2636 mm,185/65 R14,,1,Not on offer,Yes,,,,Manual,625 litres,,,Yes,Digital,Front,,Front,Yes,,,Internal,Digital,Manual,Analog + Digital,Yes,,Yes,Driver Only,,Manual Air conditioning with cooling and heating,,,,Yes,,,Normal,Yes,Yes,,Yes,Yes,,,Yes,Yes,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2.0,,,,,Rear sensors,,,,,,,,,,,
12,81,Premier,Rio,Gx,506000,1173 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,46 litres,Petrol,1730 mm,3970 mm,1570 mm,SUV,5.0,13 km/litre,16 km/litre,16 km/litre,,1080 kg,5,200 mm,Ventilated Disc,Drum,McPherson strut & coil spring,5 rods system,Yes,Only Front Windows,,Yes,76.6PS@5800rpm,103.9Nm@3500-4250rpm,Digital,Analog,Yes,5.0,Manual,2420 mm,205/70R15,,,Not on offer,,,,,Manual,454 litres,,Yes,Yes,Digital,Yes,,Front,Yes,,,Internal,Analog,Manual,Analog,Yes,4.7 meter,,Driver Only,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,,,,,Yes,,,Yes,,,1530 kg,,,Yes,Yes,,,,,,,,Yes,,,,,,,,,Manual Adjustment,
13,87,Toyota,Etios Liva,G,520300,1197 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45 litres,Petrol,1510 mm,3884 mm,1695 mm,Hatchback,5.0,15.1 km/litre,17.71 km/litre,18.16 km/litre,,895 kg,5,170 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,Electric Power,All Windows,,Remote,80PS@5600rpm,104Nm@3100rpm,Digital,Analog,Yes,5.0,Manual,2460 mm,175/65R14,,Yes,Not on offer,,,3 years /100000 Kms (years/distance whichever comes first),,Internal,251 litres,,,Yes,Digital,Front,,Front & Rear,Yes,,,With Remote,Digital,Manual,Analog + Digital,Yes,4.8 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,1475 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2.0,10.5:1,Rake,,,,Yes,,,,,,,,,Manual Adjustment,
14,101,Nissan,Micra Active,Xl,525021,1198 cc,3.0,12.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,41 litres,Petrol,1530 mm,3801 mm,1665 mm,Hatchback,5.0,,,18.97 km/litre,,,5,154 mm,Ventilated Disc,Drum,Mc Pherson-strut,Torsion Beam,Electric Power,Only Front Windows,,,68PS@5000rpm,104Nm@4000rpm,Digital,Analog,Yes,5.0,Manual,2450 mm,13x4.5B Steel,,Yes,Not on offer,,,24 months /50000 Kms (whichever comes first),,Internal,251 litres,,Yes,Yes,Digital,Front & Rear,Yes,Front,Yes,2 years / 80000 Kms (years/distance whichever comes first),,Internal,Digital,Manual,Analog + Digital,Yes,4.65 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,,,,,,Yes,Second Row,,"Driver frontal airbag, Front passenger frontal airbag",,,Yes,Yes,2.0,,Rake,,Internally Adjustable ORVM Semi Drive Computer Adjustable Rear Headrest Assist Grip 12 V Power Outlet,Rear sensors,Yes,,,,,,,,,,
15,104,Tata,Bolt,Xt Diesel,787980,1248 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,44 litres,Diesel,1562 mm,3825 mm,1695 mm,Hatchback,5.0,"22,95 km/litre",,22.95 km/litre,,1132 kg,5,165 mm,Solid Disc,Drum,Dual-path McPherson strut with coil spring and anti-roll bar,Twist Beam with Coil spring and Shock Absorber,Electric Power,All Windows,,Yes,75PS@4000rpm,190Nm@1750-3000rpm,Digital,Analog,"1, 2",5.0,Manual,2470 mm,175/65 R15,,Yes,,Yes,Yes,,Yes,Internal,210 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front,Yes,3 years /150000 Kms (years/distance whichever comes first),Yes,Manual,Digital,Manual,Analog + Digital,Yes,5.1 meter,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,1160 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,,Rake,,,,Yes,Yes,,,,,Multifunction Steering Wheel,Yes,,Manual Adjustment,
